"ARS","Name","Bundesland","Ostdeutschland","Bev_Tausend","Abitur_Quote","OhneAbschl_Quote","Abitur_GenderGap","Erwerbstaetig_Quote","Erwerbslos_Quote","Nichterwerb_Quote","Erwerbstaetig_GenderGap","Erwerbslos_GenderGap"
"15002","Halle (Saale), Stadt","ST",1,220.2,42.7,5.7,-2.5,46.4,8.1,49.5,-1.3,-1.1
"15003","Magdeburg, Landeshauptstadt","ST",1,236.1,38.6,5.7,-3.1,46.2,8.7,49.4,-3.4,0.3
"15081","Altmarkkreis Salzwedel","ST",1,79.2,21.2,4.9,1.4,48.4,5.8,48.6,-3.2,0.5
"15082","Anhalt-Bitterfeld","ST",1,151.4,21.7,4.6,0.9,46,6.6,50.8,-3,1
"15083","Börde","ST",1,164.6,22.7,5,1.5,49.1,5.8,47.9,-2.3,-0.3
"15084","Burgenlandkreis","ST",1,170.5,21.5,5.1,1.3,45.9,6.5,50.9,-2.5,-1.1
"15085","Harz","ST",1,201.8,24,3.5,0.5,47,5.7,50.2,-1.8,-0.8
"15086","Jerichower Land","ST",1,86.2,23.3,4.9,1.3,47.1,6,49.9,-1.9,-2.4
"15087","Mansfeld-Südharz","ST",1,128.4,19.1,5.5,0,43.3,8.2,52.8,-2.7,0.7
"15088","Saalekreis","ST",1,178.6,24.1,4.4,0.6,47.9,6.4,48.8,-2.3,0.8
"15089","Salzlandkreis","ST",1,179.3,19.6,5.6,0.3,44.4,7.7,51.9,-2.4,-0.1
"15090","Stendal","ST",1,104.2,22.5,5.1,1.6,46.8,7.6,49.4,-2,0.9
"15091","Wittenberg","ST",1,120.5,21.4,4.1,-0.1,46.3,6.2,50.6,-2.1,-0.1
"16051","Erfurt, Stadt","TH",1,214.3,43.3,5.4,0.8,50.1,6.4,46.5,-2.6,-0.3
"16052","Gera, Stadt","TH",1,89.6,28.9,5.7,0.7,44.5,7.6,51.8,-3.1,0.5
"16053","Jena, Stadt","TH",1,108.4,57.7,4.1,-2.7,49.5,6.4,47.1,-2.1,-0.2
"16054","Suhl, Stadt","TH",1,33.6,30,4.6,-5.6,46,5.3,51.5,-2.1,-1.7
"16055","Weimar, Stadt","TH",1,64.1,48.3,5.5,-2.9,47.3,6.4,49.5,-1.9,0.7
"16061","Eichsfeld","TH",1,96.5,24.2,4,3.8,49.8,4.3,47.9,-3.3,0.8
"16062","Nordhausen","TH",1,79.4,25.7,5.5,-0.6,46,6.4,50.9,-3,0
"16063","Wartburgkreis","TH",1,152.5,25.4,4.1,-0.1,47.9,5.3,49.5,-2.9,0.5
"16064","Unstrut-Hainich-Kreis","TH",1,97.7,24.2,4.4,0.4,46.8,6.6,49.9,-2.2,-0.1
"16065","Kyffhäuserkreis","TH",1,70.9,23.4,4.6,0.3,45.5,7,51.1,-4.2,1
"16066","Schmalkalden-Meiningen","TH",1,118,25,4,2.2,49.4,4.4,48.4,-2.8,0.8
"16067","Gotha","TH",1,134.5,27.6,5.9,-0.9,48.1,6.4,48.6,-3,0
"16068","Sömmerda","TH",1,66.6,26.4,4.6,0.7,46.8,7.1,49.7,-1.8,0.4
"16069","Hildburghausen","TH",1,59.9,21.5,3.9,1.1,50.8,4.2,47,-3.6,0.6
"16070","Ilm-Kreis","TH",1,104.4,31.4,4.5,-3.7,46.9,6.2,50,-3.5,0.3
"16071","Weimarer Land","TH",1,81.1,28.4,3.6,3,48.8,4.7,48.8,-2.8,0.8
"16072","Sonneberg","TH",1,55.2,25.3,4.7,-1.5,48.1,5,49.4,-2.5,0.6
"16073","Saalfeld-Rudolstadt","TH",1,98.3,26.8,3.8,0.7,47.2,5.8,49.9,-2.6,1.2
"16074","Saale-Holzland-Kreis","TH",1,82.1,29.7,3.9,1.6,49.7,4.6,48,-2.8,-0.5
"16075","Saale-Orla-Kreis","TH",1,76.8,20.5,4.6,0.4,49.6,4.4,48.1,-3,0.4
"16076","Greiz","TH",1,93.2,24.4,3.3,0,46.7,5,50.9,-2.2,-0.5
"16077","Altenburger Land","TH",1,86,22.6,4,-0.2,43.9,6.4,53.2,-3.1,0.8
